tweet,class
 [@] woman shouldnt complain clean hous amp man alway take trash,0
 [@] boy dat coldtyga dwn bad cuffin dat hoe st place,1
 [@] dawg [@] ever fuck bitch start cri confus shit,1
 [@] [@] look like tranni,1
 [@] shit hear might true might faker bitch told ya ,1
[@] shit blow meclaim faith somebodi still fuck hoe ,1
[@] sit hate anoth bitch  got much shit go,1
[@] caus tire big bitch come us skinni girl,1
 amp might get ya bitch back amp ,1
 [@] hobbi includ fight mariam bitch,1
 keek bitch curv everyon  lol walk convers like smh,1
 murda gang bitch gang land ,1
 hoe smoke loser   yea  go ig,1
 bad bitch thing like ,1
 bitch get ,1
 bitch nigga miss ,1
 bitch plz whatev ,1
 bitch love ,1
 bitch get cut everyday b ,1
 black bottl amp bad bitch ,1
 broke bitch tell noth ,1
 cancel bitch like nino ,1
 see hoe chang ,1
 fuck bitch even suck dick   kermit video bout fuck ig,1
 got ya bitch tip toe hardwood floor   [LINK],1
 pussi lip like heaven door  ,1
 hoe hit ,1
 met pussi ocean dr  gave pussi pill  ,1
 need trippi bitch fuck hennessi ,1
 spend money want bitch busi ,1
 txt old bitch new bitch pussi wetter ,1
 say back old old bitch would get excit  ,1
 aint bout murder game pussi nigga shut ,1
 your toe aint done pussi stink ,1
 done bitter bitch wrap  angri bird app ,1
 ya bitch ,1
 aint noth cut bitch ,1
 ju meet son ya mane ass bitch  shot,1
 lame cri hoe tear clown ,1
 like snoop said  love hoe ,1
 momma said pussi cat insid doghous ,0
 hate hoe favorit  mw sevenon  [LINK],1
 nice girl bad make get naughti bad yello hoe real nice bodi south chick like em real thick [LINK],1
 pimp pimp hoe  futur voic,1
 post pictur pussi get  like ,1
 pussi power drug   happyhumpday [LINK],1
 quick piec pussi call drive ,1
 run round like brand new pussi bout get fuck ,1
 bitch even worst theyll send guy ,1
 hoe like nigga spend money talk bout ,1
 trust nigga bitch ,1
 yall nigga b cuf hoe caus yall aint never bitch ,1
 dodg bullet   [@] da bitch cut pregnant bound thank god ,1
 young pill chamberlain bitch love music ,1
[@] teanna trump probabl cleaner twitter hoe,1
[@] gay nigga couldnt wait act like bitch tonight,1
[@] ima steal cat replac pitbul  [@] [@] bitch,1
amp he gone alway hoe,1
